Year: 2024
compName,offseason?,type,week,avg,qualAvg,qualAvgWin,qualAvgLoose,elimAvg,elimAvgLoose,elimAvgWin
Rocket City Regional,0,Regional,5
Archimedes Division,0,Championship Division,null
Arkansas Regional,0,Regional,1
Ozark Mountain Brawl,1,Offseason,null
Duel Down Under,1,Offseason,null
Southern Cross Regional,0,Regional,2
West Australian Robotics Playoffs,1,Offseason,null
Duel in the Desert,0,Preseason,null
Arizona East Regional,0,Regional,3
Arizona Robotics League Championship,1,Offseason,null
Arizona Robotics League Qualifier 1,1,Offseason,null
Arizona Robotics League Qualifier 2,1,Offseason,null
Arizona Robotics League Qualifier 3,1,Offseason,null
Arizona Robotics League Qualifier 4,1,Offseason,null
Arizona Robotics League Qualifier 5,1,Offseason,null
Sanghi Foundation AZ State FIRST Robotics Competition,1,Offseason,null
Arizona Valley Regional,0,Regional,2
BattleCry at WPI,1,Offseason,null
Canadian Pacific Regional,0,Regional,0
Brazil Regional,0,Regional,0
Cents and Bots,1,Offseason,null
Aerospace Valley Regional,0,Regional,5
Battle at the Border,1,Offseason,null
East Bay Regional,0,Regional,5
Beach Blitz presented by the Gene Haas Foundation,1,Offseason,null
Capital City Classic,1,Offseason,null
Sacramento Regional,0,Regional,2
Fairbotics,1,Offseason,null
Central Valley Regional,0,Regional,3
Los Angeles Regional,0,Regional,2
Monterey Bay Regional,0,Regional,4
Orange County Regional,0,Regional,4
Hueneme Port Regional,0,Regional,0
San Diego Regional presented by Qualcomm,0,Regional,3
San Francisco Regional,0,Regional,1
Silicon Valley Regional,0,Regional,0
Tidal Tumble,1,Offseason,null
Ventura County Regional,0,Regional,1
Chezy Champs,1,Offseason,null
FIRST Chesapeake District Championship,0,District Championship,5
Einstein Field,0,Championship Finals,null
Colorado Scrimmage,0,Preseason,null
Colorado Regional,0,Regional,3
Kendrick Castillo Memorial Tournament (KCMT),1,Offseason,null
CT State Championships,1,Offseason,null
NE District Hartford Event,0,District,0
Cow Town Throwdown,1,Offseason,null
NE District Waterbury Event,0,District,1
Curie Division,0,Championship Division,null
Daly Division,0,Championship Division,null
Orlando Regional,0,Regional,3
Tallahassee Regional,0,Regional,2
South Florida Regional,0,Regional,0
PCH District Albany Event,0,District,4
PCH District Carrollton Event,0,District,3
Peachtree District Championship,0,District Championship,5
PCH District Dalton Event,0,District,1
GRITS,1,Offseason,null
PCH District Gwinnett Event,0,District,2
Galileo Division,0,Championship Division,null
Hawaii Regional,0,Regional,5
Hopper Division,0,Championship Division,null
Iowa Regional,0,Regional,3
Clash in the Corn,1,Offseason,null
Idaho Regional,0,Regional,3
Midwest Regional,0,Regional,4
Central Illinois Regional,0,Regional,2
Rock River Robotics Off-Season Competition,1,Offseason,null
Roboteer Rumble,1,Offseason,null
Boiler Bot Battle,1,Offseason,null
FIRST Indiana State Championship,0,District Championship,5
FIN District Columbus Event,0,District,2
FIN District Washington Event presented by Toyota Indiana and Vincennes University,0,District,4
FIN District Mishawaka Event,0,District,0
FIN District Plainfield Event presented by Carrier,0,District,3
Indiana Robotics Invitational,1,Offseason,null
Cezeri Robot Ligi Bahçelievler Off-Season,1,Offseason,null
Cezeri Robot Ligi Başakşehir Off-Season,1,Offseason,null
FIRST Israel District Championship,0,District Championship,3
ISR District Event #1,0,District,0
ISR District Event #2,0,District,0
ISR District Event #3,0,District,0
ISR District Event #4,0,District,1
i-Squared Idaho Invitational,1,Offseason,null
Israeli Off-Season #1,1,Offseason,null
Israeli Off-season #2,1,Offseason,null
Johnson Division,0,Championship Division,null
Heartland Regional,0,Regional,2
RiverBOaT Rumble,1,Offseason,null
Bayou Regional,0,Regional,5
Northshore Knockout ,1,Offseason,null
Laser Lights,1,Offseason,null
NE District Greater Boston Event,0,District,3
NE District BSU Event,0,District,1
Clipper Clash,1,Offseason,null
Michigan Advanced Robotics Competition,1,Offseason,null
NE District North Shore Event,0,District,2
New England Robotics Derby,1,Offseason,null
NE District Western NE Event,0,District,3
NE District WPI Event,0,District,4
Battle o' Baltimore,1,Offseason,null
CHS District Owings Mills MD Event,0,District,3
CHS District Severn MD Event,0,District,2
NE District Pine Tree Event,0,District,2
Mainely SPIRIT,1,Offseason,null
Summer Heat,1,Offseason,null
Mexico ALL-STAR,1,Offseason,null
FIM District Ann Arbor Event presented by DTE,0,District,2
FIM District Battle Creek Event presented by Parker Hannifin,0,District,0
Big Bang!,1,Offseason,null
FIM District Belleville Event presented by Autokiniton,0,District,1
FIM District Berrien Springs Event presented by Edgewater Automation,0,District,0
Bloomfield Girls Robotics Competition,1,Offseason,null
FIM District Jackson at Columbia Event presented by Consumers Energy Foundation,0,District,0
Ferris State Roboday,1,Offseason,null
FIM District Woodhaven Event presented by Altair,0,District,1
Goonettes Invitational - Day 1,1,Offseason,null
Goonettes Invitational - Day 2,1,Offseason,null
FIRST in Michigan State Championship,0,District Championship,5
FIRST in Michigan State Championship - DTE Energy Foundation Division,0,District Championship Division,5
FIRST in Michigan State Championship - Hemlock Semiconductor Division,0,District Championship Division,5
FIRST in Michigan State Championship - Consumers Energy Division,0,District Championship Division,5
FIRST in Michigan State Championship - Aptiv Division,0,District Championship Division,5
Detroit City Championship,1,Offseason,null
FIM District Renaissance Event presented by DTE Energy Foundation,0,District,4
FIM District Wayne State Event presented by Magna,0,District,2
FIM District Escanaba Event presented by Highline,0,District,1
Kettering Kickoff (Day 2),1,Offseason,null
Kettering Kickoff (Day 1),1,Offseason,null
Kettering AllStar Alliance Invitational,1,Offseason,null
FIM District Kettering University Event #2 presented by The Gene Haas Foundation,0,District,1
FIM District Kentwood Event presented by Dematic,0,District,4
